bv_id,title,message,time,like,uid,name,sex,level,vip
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,大家可能不知道毒龙是什么，我给大家科普一下，就是有毒的龙。[doge],2022-03-22 13:17:47,2230,12760448,小昔的闲暇时光,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,我投了两个币，大家不用再投了算我请的[OK],2022-03-22 14:09:02,1763,44344451,-糖醋鲤鱼-,保密,6,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,全蛋失业了可以去桑汇火腿肠打卡上班[doge],2022-03-22 11:02:00,1397,403267953,来自天堂的核桃,保密,5,大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,哎我说难怪我每次吃酸菜 肚子就拉,2022-03-22 14:14:58,811,311540877,夕子学姐是唯一追求,保密,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,jiojio的奇妙冒险[哈哈][哈哈][哈哈][哈哈],2022-03-22 13:54:49,688,388680664,花话君,男,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,全蛋有考虑过找孙火旺联动下吗[嗑瓜子]，期待卧龙凤雏珠联璧合[打call][打call][打call],2022-03-22 11:40:09,821,434228785,23法硕必上岸,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,富土康宇宙[doge],2022-03-22 11:06:14,442,62448319,积木ZG,男,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,踩着酸菜，抽着烟，唱着歌，突然就被记者曝光了。借楼，来自一个农村单亲家庭的求助，母亲颅内恶性肿瘤，点击头像了解,2022-03-22 14:17:18,476,366550390,邹玉川,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,我以为大伙是在整活，没想到真的有人以为这个视频是真的[囧],2022-03-24 19:11:12,191,288257601,腥红赤月,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,都没人认识张全蛋吗？暴走大事件一个都没看过？看来时代是真过去了눈_눈,2022-03-24 08:14:30,157,15445628,白狼二,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,不懂就问，为什么播放量上百万的视频，评论的赞只有两位数[思考],2022-03-24 21:50:34,56,494595282,庸子の装作乌鸦的鸽子,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,全蛋哥哥给我踩我肯定吃啊[傲娇],2022-03-22 11:01:15,7458,243796323,月头Moonhead,保密,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,许多人不知道这是整活视频。。。不得不说，这期视频还是很有水平的,2022-03-24 18:56:36,90,39655277,audncj,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,别再问评论区怎么回事了，出bug吞的评论。我从来都是几乎不删评的，我对我黑粉的爱，仅次于我的颜粉。,2022-03-25 00:23:47,3605,10360627,张全蛋,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,现在张全蛋也没人认识了[笑哭][笑哭][笑哭],2022-03-23 19:07:13,93,12092777,晓狼_,保密,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,你随意篡改我的歌词那就是画蛇添足，还看酸菜一颗两颗三颗四颗连成线，你以为你是贪吃蛇吗？我瞅见你就来气！,2022-03-22 12:04:13,1079,319658904,苏仙岭上白鹭飞,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,看见这个标题我第一反应是挺可怜他的，心想这打工人丢了工作应该挺难受，再一想觉得他给我吃的东西里加料我同情他干嘛。[笑哭]看了开头想明白了，怎么可能有人会真的爆料自己是干这个的丢工作啊[笑哭],2022-03-22 15:28:31,328,35651900,卢比扬卡的心跳恋,女,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,你们失去的是健康，我失去的可是工作哇[doge],2022-03-22 15:26:55,271,1616435,gnmd刘庆伟,男,6,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,这是剧本啊，不会有人以为是真的采访吧[热词系列_知识增加],2022-03-22 15:27:06,233,676464568,荒城凉月,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,为什么会有人连这是个整活都分辨不出来？,2022-03-22 18:18:09,259,631334374,月白风轻521,保密,5,大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,如果是让伊蕾娜踩的酸菜我绝对100%吃个干净！,2022-03-22 11:05:09,512,286153686,戴斯蒙德迈尔斯-,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,“重操旧业”了属于是[脱单doge],2022-03-22 21:25:46,129,519528064,鲜丰水果官方,保密,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,我们换个思路，要是统一找一帮大长腿模特来踩拍个广告，然后晒出4A级标准腿的健康证[doge]，广告词我都想好了，你还在为香港脚踩出的酸菜而担心吗，你还在为抠脚大汉带腿毛的脚而反感吗，那么救星来了我们的腿纯天然无公害食品级标准，踩健康的纯正的好酸菜，有人模仿我的脸，有人模仿我的脚[doge],2022-03-22 14:45:47,162,24699169,大剑雨,男,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,离谱的是脚踩的国内买，真的坛子里面的买到国外去[辣眼睛],2022-03-22 15:46:23,157,400579353,开心丶kaixin,保密,4,大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"甲：这肥肠没洗干净吧，上面好像有屎
乙：自己人不骗自己人，这个好吃
甲：这肥肠没洗干净，有屎啊
乙：你知道做这道菜的厨师是谁吗？人家可是特级厨师，你凭什么说这菜难吃。
甲：不是啊，我是说，这肥肠没洗，有屎啊！
乙：你知道炒这道菜加了多少珍惜材料，刀工有多好吗？你凭什么说它难吃。
甲：我是说这肥肠没洗，没洗啊！！
乙：肥肠就是这样的，我觉得好吃，我们这边肥肠都是这样的。
甲：这肥肠有屎
乙：你心中有屎，看什么都是屎！
甲：我是说屎啊！
乙：抛开屎不谈，这肥肠不好吃吗？
甲：艹，有屎怎么吃？
乙：你都没吃，怎么知道不好吃？请买一碟吃过再说。",2022-03-22 14:46:56,195,490918605,荖噃茄,男,5,大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,如果出口的酸菜是一样的做法，我也认。嫌网友对脚踩双标，插旗自己对客户也双标。而且紧跟时事玩段子能不能不要拿脚踩转移焦点。315曝光的核心本质是它肉眼可见的卫生标准烂。我们能不能联合起来抵制这种食品差别标准，为什么中国人专坑中国人，却给外国人尽心尽力的服务，中国消费者少花钱了吗。插旗比好丽友还没良心。好丽友的立场坑的对家，插旗坑自己人。,2022-03-22 14:20:38,169,281417504,告诉小主我爱他,女,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,让18岁的少女踩啊,2022-03-22 16:57:19,128,601442865,旅路tourism,男,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,她随意吐的一口痰，我兑水喝了三年[给心心],2022-03-22 19:00:31,127,11824051,八口大箱子,男,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,老痰酸菜给国内，老坛酸菜送给国外。[支持],2022-03-22 22:22:39,120,214518773,聊以新颜待今朝,男,6,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,哈哈哈哈富土坑  富士康ptsd了属于是,2022-03-22 13:27:06,109,13782042,物理学家拉灯弗里曼,男,6,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"老坛酸菜招工条件如下
轻度脚气3000月
中度脚气8000月
重度脚气15000月
极重度脚气带大面积溃烂的30000月
[doge][doge][doge]",2022-03-22 17:45:10,119,505278,狼客贱心丶,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,超市现在都变成了酸豆角面了，属于是换汤不换药,2022-03-22 13:38:17,130,69791549,二氧化的小强,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,不懂别乱黑，扔烟头是为了测试土坑酸菜中的含氧量是否符合乳酸菌所需的厌氧环境，符合会熄灭。不符合就用人体分泌乳酸和唾液减少PH，增加酸性。以达到酸爽[doge],2022-03-22 21:11:39,107,170670585,柴の魔法,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"对不起,我有点怀疑工人们会不会怕上过廁所太麻煩影响工作进度和经济效益而直接就地解決呢?",2022-03-22 17:30:32,116,691157666,逃出危城的兔,保密,4,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,你一富土康质检员冒充酸菜坑员工[doge],2022-03-22 13:37:07,105,17542165,是老王呀_,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,酸菜事件的背后可能是很多家庭短期甚至长期的土崩瓦解，很多以此为生的农民家庭或许因为这次报道失去了家庭唯一的经济来源，这些家庭里如果有上学的小孩很可能因为这场“变故”就无法往上继续读书。最应该承担事件责任的从来不是那些以种植芥菜谋生、没有风险承担能力的农民，而是卫生安全漏洞百出的企业和监管部门。很可悲的是，大多数人只是一味地跟从报道的导向，而报道在曝光以后并未跟进，只留下那些农民面对芥菜烂在地里的结局。这个世界是一直如此糟糕还是只是现在？一直如此。,2022-03-27 00:37:39,8,38314299,Whitecest,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,说不做土坑酸菜就活不下去的，就像说不加班公司就要倒闭一样，靠违法才能活下去说明本身就有问题，自己不想着转变，只想侵害别人剥削别人存活，做的越大越久对正常企业的伤害就越大[嫌弃],2022-03-22 14:43:02,133,40882187,重命名Lavande,女,5,大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,所有up都在这整活 看着很欢乐 实际有啥用  昨天买东西偶然发现该卖还在卖 我好奇问了一下老板 问他没看新闻吗 怎么还在架子上 便利店老板说 上面的经销商没给任何通知召回或者下架  [辣眼睛],2022-03-22 17:30:43,110,10718364,ghost～,保密,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,酸菜的公司对日本出口的青菜要清洗十几遍！！！[生气]它不倒闭破产咱们中国人都有责任！,2022-03-22 19:42:12,106,40125404,大秦人皇,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,我在深圳，最绝望的不是因为小区封锁不让出去而屯了几箱泡面，而是屯的尼玛全是酸菜面，14号开始封闭的，新闻是15号看到的，你懂那种已经吃了几袋的那种感觉嘛？,2022-03-22 21:48:28,84,382335385,怼天怼地怼穿空气,男,3,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"足食老痰酸菜面[滑稽]
十万万人齐破防[doge]",2022-03-22 15:37:13,84,37845344,为衣者水也,男,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,真的是以貌取人，为啥茅台用20岁的美女大学生踩曲就卖那么贵[辣眼睛],2022-03-22 15:31:56,128,17649600,荆门某,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,？连张全蛋都不认识了？,2022-03-24 06:51:31,31,283806238,Bili_283806238,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,你们要是用美女踩酸菜，也不至于现在这样啊,2022-03-22 20:07:59,125,313170022,匿名者的留言,保密,3,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,确实都没吃出病，只不过癌症率逐年上升而已，跟我们脚踩酸菜有啥关系[脸红][脸红],2022-03-22 20:25:10,93,495976882,OH要秃了,男,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,结尾要是记者大喊“干嘛啊你”将是缝合神作,2022-03-22 18:43:34,75,9224251,高傲必须承受孤独,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,虽然说法国葡萄酒也是脚踩出来的，但别人脚不加盐啊，你这盐也太齁人了，实在承受不了你亲脚腌制的酸菜啊,2022-03-22 15:52:02,75,62379023,估到摸你,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"「你这酸菜是踩过吗」
「我开富土坑的，能卖你没发酵的啊？」
「我问你这酸菜踩过吗」
「你是故意找茬是不是，你要不要吧」",2022-03-22 13:48:34,84,8364140,普通市民吉良吉影,保密,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,普通话比以前标准了 没那味了,2022-03-22 16:49:48,77,30702774,BbBaBeBOBI,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,发了霉的小麦做成的面饼，然后还是用地沟油炸出来的，然后还有老痰脚气酸菜，还加了一根双汇火腿蛆，然后冲泡面的水是用恒河水和福岛水进行混合，最后，用放射性燃料点燃之后加热而成，大家怎么都不吃啊？,2022-03-22 19:22:44,80,549189488,有趣的梓祥,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,晒足一百八十天 就在这里晒 [doge],2022-03-22 17:07:51,71,14228280,犁田三不成,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,[doge]你说有没有可能，这个人是张全蛋,2022-03-22 15:50:12,70,17297050,晓夜爱灵枫,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"「你这酸菜是踩过吗」
「我开富土坑的，能卖你没发酵的啊？」
「我问你这酸菜踩过吗」
「你是故意找茬是不是，你要不要吧」",2022-03-22 13:48:34,84,8364140,普通市民吉良吉影,保密,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,寡姐进去踩，那我肯定不介意啊[doge],2022-03-22 15:10:44,84,604241395,我咋进不去啊,男,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,u1s1，315那么大的厂牌，搞这种小行业，不去搞寡头垄断的那些，属实是越来越拉了，是不想搞还是不敢搞？[辣眼睛][doge],2022-03-22 15:50:17,105,264543816,Wink是迷信的amateur,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,我们大学的超市竟然还卖[吐],2022-03-22 13:19:30,66,328978240,随亦大火宣,男,5,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,“酸豆脚”,2022-03-22 14:38:26,62,35874965,D-Ocean,男,3,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,懂了！让寡姐来踩！,2022-03-22 13:51:09,63,403898998,尼克鸡德曼,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,早点说你踩的我就不扔了啦,2022-03-22 17:28:54,63,482144200,寒夜飘雪Vanlin,男,4,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,神™富土坑[辣眼睛],2022-03-22 13:53:49,62,217674353,BoomBanBa,保密,5,大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"推测：（因果）
第一康师傅公司得罪了人
这人正好能整的了他
第二竞争因素
第三因为疫情来源关系
有必要彻查一切可疑国外生产厂家
第四联想起骑砍工厂一旦敌对收购（同理）",2022-03-22 18:24:58,100,277438898,lamkinglamking,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"我妈跟我说，我老家之前有人过来做试点，让农民脚踩酸菜，然后没一个月就被举报了，所以我家所有跟酸菜有关的食品都不买，只吃自己家做的做酸菜，
还有一个食品你们可能也听说过“臭豆腐”，我哥的一个同学跟他讲过路边的臭豆腐怎么做的，那以后每次路过臭豆腐摊，我都绕很远再走",2022-03-22 14:40:51,62,574274,琉璃色的金鱼,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,艹 全蛋是你,2022-03-22 14:45:33,62,326556706,半夜去剃度,女,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,湖南海霸食品生产的酸菜不要吃不要吃！！！土坑酸菜是它做的！！它是插旗菜业旗下的！！！,2022-03-23 19:03:06,61,26072971,小章鱼好吃吗,女,5,大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,这也太恶搞了，编导是人才！[支持],2022-03-22 22:03:56,59,500417119,大白Baymax白,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,全蛋，隔壁大锤都去电影圈电视圈混了，你不去混一下吗,2022-03-22 17:19:12,58,23770380,西拾柒,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,那这样，你让寡姐来踩酸菜我勉强还能吃[doge],2022-03-22 22:43:19,58,514561599,张全蛋分会会长,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,讲真，土坑是老脚艺。先不说是不是符合现在，说好的老坛，你直接给土坑，货不对板还不让说，不合适吧[无语],2022-03-22 18:34:29,91,10909804,空大就是叼,保密,6,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,亲脚腌制，笑死哈哈哈哈,2022-03-22 17:39:45,53,13656869,郁七233,女,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"老板：你们呀就是不懂换位思考，支持国产阿！支持国货啊！实在受不了可以多花钱买咱给老外的货啊，那个干净
员工：你们怎么敢抱怨怎么敢嫌弃！害得我们失业，我们不要吃饭的嘛",2022-03-22 16:10:20,56,624708681,夜洛绮77777,保密,3,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,神他妈《jiojio的奇妙冒险》[喜极而泣],2022-03-22 20:47:28,55,501077337,社恐崽,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,不懂就问:啥是毒龙？[辣眼睛],2022-03-22 14:10:21,54,276514161,老恶魔提利昂,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,一堆人踩酸菜太恶心了 二哥 你看看我这香港脚越来越严重了 每天都掉这么多皮 小四 你那算什么 看我这灰指甲唉 治不好了 六子 别扣鸡眼了 该干活了 妈蛋 虽然我不吃泡面 可是想想都难受………[呆],2022-03-22 19:24:41,61,440604013,小虫子的悠闲人生,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,八年，那得入味了吧,2022-03-22 15:47:04,50,62930432,网罗小黑,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,按摩店里可以有毒龙？？？？？,2022-03-22 17:02:37,53,205483105,动态是生命的力量,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,毒龙，又名冥界亚龙，又称房祖名[doge],2022-03-22 16:58:05,51,373469,小可爱的小WIFI,女,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,就你小子踩我的酸菜,2022-03-22 21:52:46,57,350736098,冷夜花开,男,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,已经生死看淡了，有的东西或许比这还不卫生，不干不净，吃了没病[OK][OK][OK],2022-03-22 15:20:47,57,1525488137,夏天老是睡不醒,保密,3,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,最后笑死我了，你退半步的动作认真的吗？小小的动作伤害却那么大！！！[喜极而泣][喜极而泣][喜极而泣],2022-03-22 14:13:13,64,661637786,火星精神院张院长,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,传承？扯淡！我们这的酸菜只用陶缸来腌制！我第一听说酸菜能用薄膜在地上腌制的,2022-03-22 16:10:34,68,400240481,Mr熋猫,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,不会吧！竟然看到张全蛋[doge],2022-03-22 21:51:48,49,99439130,朦胧美立,女,2,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"按摩店就是AMD，那个半导体公司
毒龙就是Duron，是AMD的一个CPU系列",2022-03-22 23:18:43,49,376747077,电磁龙,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,全蛋老了啊,2022-03-22 17:58:49,49,36470218,v-reznov,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,收编了，普通话都北化了,2022-03-22 13:53:55,48,12996839,天使爆破组,保密,6,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,国足和女足能一样？[doge],2022-03-22 15:21:31,46,90121775,我爱绿老师,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,大汉踩也就算了，关键还有甲沟炎，灰指甲,2022-03-22 22:35:54,47,386619210,飘啊飘心情很好,保密,4,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,[傲娇]其实你们并不嫌弃用jio踩的酸菜，只是嫌弃踩的人，把人换成你本命看你吃不吃,2022-03-22 20:47:09,74,12425302,哭起来呛奶,保密,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,说严肃的，老祖宗没条件所以才是这么干的，现在有条件了大可利用液压机与其他干净的方式制作，一百多斤的人跟一百多斤力量的液压机踩有撒子区别吗,2022-03-22 16:31:51,78,17810167,老星辰啊,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,"脚踩酸菜这件事，真的接受不了——不是歧视，就是受不了，感觉恶心又很脏，何况是这种吐口痰丢个烟的
企业没了，工人没有了工作，确实惨
可是我吃的泡菜这么脏我还不知道，我难道不惨吗！我对泡菜都有心理阴影了，我不惨吗！",2022-03-23 14:15:08,46,631341384,闻钦钦,保密,4,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,依稀记得方面传出来消息，汪涵吃了一口，拍完（镜头一转）转头就吐了出去,2022-03-22 21:08:35,58,385903496,娘子零贰甚美,男,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,富土康里面的商店还没下架老痰酸菜，还摆得挺多[辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛],2022-03-22 14:50:14,52,382751062,祝夢,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,老痰酸菜，足式发酵[doge],2022-03-22 18:06:30,44,2664193,Dark-Paimon,保密,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,不懂，为什么你们都要让老婆踩，纸片人能出来那我肯定给老婆亲自踩啊[脱单doge],2022-03-22 14:17:14,44,38810114,白小夙,女,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,妈的丰衣足食是这样解析的吗[笑哭],2022-03-22 14:58:28,44,236720824,指間沙-,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,怎么普通话这么好了，讲话还分平翘舌了，差评,2022-03-22 20:25:22,43,24052081,小师叔叔,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,你特么不是在富土康？？？,2022-03-22 20:16:53,44,1477696,划过天空的夏琉喵,男,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,不好笑能别说出来吗 每次总有人说吃老本 就不能先关注其他的视频吗?,2022-03-22 20:46:05,48,323704287,-柊南ひいな-,保密,5,大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,老祖宗的平均寿命可没你高,2022-03-22 14:51:19,53,527486171,打打火机的水啊,保密,3,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,普通话太标准了，少了点以前那味儿了呢。,2022-03-23 01:50:25,40,60983377,大西南浪漫革命,保密,4,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,八年！八年！用脚踩的酸菜我吃了八年！你们知道这八年我是怎么过的吗？你们知道吗？[大哭],2022-03-22 15:08:40,47,228761276,小不忍則卖大萌,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,你随意篡改我的歌词就是画蛇添足,2022-03-22 20:32:45,48,173519663,赤焰凌,保密,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,嘴上长脚气  的可以去告了  。,2022-03-22 18:35:42,41,475248486,笑个庸,保密,4,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,老坛酸菜变成了老痰土坑脚踩臭腌菜，换谁也接受不了,2022-03-22 20:41:02,41,316951526,念千凡,男,5,
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,听说汪涵为了拍老坛酸菜牛肉面的广告吃到吐。想想这味道能不吐吗？[嗑瓜子]心疼汪涵老师。还好我没有吃泡面的习惯。家里爸妈不让吃说都是都是防腐剂。感谢爸妈,2022-03-22 21:30:13,45,12084638,唔妻是唔妻哒,保密,6,年度大会员
BV1f34y1t7G4,土坑酸菜被曝光以后，我在承受失业之苦,夏洛:你随意篡改我的歌词，就是画蛇添足，什么一个两颗三颗四颗连成线，你以为是贪吃蛇吗？我看到你就来气[生气],2022-03-22 18:14:22,55,491175155,A安蜀黍,保密,3,
